eps,silhouette_score,cluster_num
0.005,0.20170606305988947,52
0.01,0.20170606305988947,52
0.025,0.19616722453662205,28
0.05,0.24622556750457997,35
0.075,0.4325081394839258,16
0.1,0.5576850149952253,13
0.125,0.5792105932526223,6
0.15,0.371683404821726,5
0.175,0.37123959874227874,5
0.2,0.3893543933933843,4
0.225,0.36818122906547424,3
0.25,0.37124245149894824,3
0.275,0.36869873640520473,3
0.3,0.3838955039292719,3
0.325,0.5005819773826712,2
0.35,0.5048417438135556,2
0.375,0.5048417438135556,2
0.4,0.6545559319237644,1
0.425,0.6545559319237644,1
0.45,0.6545559319237644,1
